Symbol	macrophage, TB infection, non stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep4.CNhs14347.3972-173I4	macrophage, TB infection, non stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep4.CNhs14348.3973-173A5	macrophage, TB infection, non stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep4.CNhs14349.3974-173B5	macrophage, TB infection, non stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep4.CNhs14350.3975-173C5	macrophage, TB infection, non stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep4.CNhs14351.3976-173D5	macrophage, TB infection, non stimulated BMDM, without Mtb, 024hr, biol_rep4.CNhs14342.3967-173D4	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep1.CNhs11507.3607-170C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep2.CNhs11582.3679-171C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep1.CNhs11508.3608-170D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep2.CNhs11583.3680-171D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep1.CNhs11509.3609-170E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep2.CNhs11584.3681-171E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep1.CNhs11510.3610-170F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep2.CNhs11585.3682-171F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep1.CNhs11511.3611-170G6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep2.CNhs11586.3683-171G6	macrophage, TB infection, non-stimulated BMDM, without Mtb, 004hr, biol_rep3.CNhs11633.3705-172B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 006hr, biol_rep3.CNhs11634.3706-172C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 012hr, biol_rep3.CNhs11635.3707-172D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep1.CNhs11458.3561-170B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep2.CNhs11533.3633-171B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep3.CNhs11636.3708-172E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep1.CNhs11459.3562-170C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep2.CNhs11534.3634-171C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep3.CNhs11637.3709-172F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep1.CNhs11460.3563-170D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep2.CNhs11535.3635-171D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep3.CNhs14298.3710-172G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep1.CNhs11461.3564-170E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep2.CNhs11536.3636-171E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep3.CNhs14299.3711-172H1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep1.CNhs11462.3565-170F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep2.CNhs11537.3637-171F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep3.CNhs14300.3712-172I1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep1.CNhs11463.3566-170G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep2.CNhs11538.3638-171G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep3.CNhs14301.3713-172A2
4930430F08Rik	1.26	4.33	3.54	10.15	7.86	5.55	2.49	3.99	9.08	17.32	5.38	11.97	5.78	13.18	4.24	12.03	6.55	9.17	10.55	8.41	8.87	8.47	3.91	8.55	9.17	7.65	9.06	6.68	12.48	9.44	8.4	12.13	7.19	9.74	4.68	9.07	11.77
Ccdc59	3.78	3.73	2.5	2.4	7.86	5.41	4.36	5.98	9.69	3.46	6.73	6.53	5.78	16.47	6.79	6.02	7.62	8.42	5.23	8.41	6.21	5.74	3.91	6.72	6.55	7.11	4.23	7.83	3.9	5.19	8.16	9.44	4.62	7.1	4.68	4.34	6.18
Ccdc59	0.42	0.45	0.21	0.65	0	0.42	0.62	0	0.61	0	0	0	0	0	0	0	0.36	0	0.28	0	0	0.14	0.78	0	0.28	0	0	0.18	0	0.47	0	0	0.51	0.11	0	0.79	0.15
Ccdc59	32.64	27.61	29.59	34.59	117.92	23.6	32.42	33.89	18.77	39.26	17.94	32.64	20.24	49.41	28.86	27.07	27.15	22.99	28.26	16.83	15.07	20.17	20.35	21.38	20.14	21.87	23.56	22.34	26.51	16.05	19.98	21.57	24.66	18.67	20.3	15.77	20.15
Shprh	0.42	0.6	0.21	0.33	0	0.97	0	0	0	1.15	0.9	1.09	0	0	1.7	3.01	1.07	0.5	0.64	0	0	1.05	0	0	0.62	0	0.6	0.27	0.78	3.78	1.06	0	0	0.46	1.56	0.79	0.15
Shprh	0.42	0.45	0.1	0.44	0	0	0.62	0	0	0	1.35	1.09	0	0	1.7	9.02	0.24	0.5	0.83	0	0.89	0.49	0.78	1.22	0.55	0	0.6	0.36	0	1.42	0.59	0	0.51	0.11	0	0.79	0.29
Shprh	9.24	9.1	12.61	21.49	39.31	16.38	9.35	23.92	8.48	23.1	13.01	32.64	8.67	32.94	11.03	51.14	20.24	20.98	30.92	17.76	15.96	24.93	18.79	24.43	24.2	16.95	12.69	20.12	13.26	19.83	21.28	16.18	32.37	17.41	34.35	20.11	17.65
Fbxo30	0.21	0	0.1	0	0	0.28	1.87	1.99	6.05	0	1.35	0	1.45	0	0	0	0	0	0.09	0	0	0.14	0	0.61	0.21	1.09	0.6	0.18	0	0.47	0.24	0	0	0.23	0	0	0.15
Fbxo30	10.81	5.07	6.04	6.76	0	5	9.35	7.97	19.37	4.62	8.07	4.35	11.56	0	6.79	6.02	3.45	2.26	2.02	3.74	3.55	3.08	5.48	1.22	3.31	3.83	3.02	6.5	3.9	3.3	5.2	4.04	4.11	4.92	7.81	3.15	6.18
Fbxo30	7.98	2.39	2.29	1.85	23.58	1.67	22.44	27.91	99.89	6.93	10.32	2.18	24.57	0	6.79	0	0.6	0.25	0.73	0	0	0.84	1.57	1.83	1.03	2.73	0.6	1.07	1.56	1.42	1.42	6.74	0.51	0.8	4.68	1.97	2.21
Fbxo30	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo30	0.63	0	0	0.22	0	0.14	0	0	1.21	0	0.45	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0.55	0	0.09	0.78	0	0	0	0	0	1.56	0	0.15
Epm2a	6.51	6.86	4.69	16.69	0	12.77	6.23	3.99	6.66	6.93	8.52	20.67	5.78	56	11.88	39.11	8.81	13.06	9.08	4.67	12.41	12.33	8.61	10.99	12.07	12.03	9.67	13	9.36	10.39	11.59	16.18	6.17	8.7	12.49	5.12	6.18
Nap1l1	3.57	1.34	1.77	3.38	15.72	2.64	1.87	0	2.42	2.31	3.14	2.18	0	6.59	1.7	9.02	1.31	1.63	1.19	0.93	0.89	1.33	1.57	1.83	1.59	2.19	3.02	2.14	0.78	2.36	2.25	2.7	3.08	2.52	0	3.94	1.47
Nap1l1	37.47	19.1	23.65	49.31	188.67	48.72	28.68	33.89	52.07	26.56	16.15	19.58	14.45	32.94	9.34	48.13	30.13	22.36	24.59	12.15	21.28	18.7	22.7	23.82	20	18.04	36.85	39.7	25.73	36.82	42.57	25.61	75.52	53.14	34.35	27.99	45.01
