Gene.Name	Enhancer	enh.chr	enh.start	enh.end
1810037I17Rik	chr3:122343326..122343727	chr3	122046244	122046645
1810037I17Rik	chr3:122573449..122573850	chr3	122276367	122276768
1810055G02Rik	chr19:3359919..3360320	chr19	3359919	3360320
1810055G02Rik	chr19:4260497..4260898	chr19	4260497	4260898
2010002M12Rik	chr19:34442107..34442508	chr19	34516597	34516998
2010002M12Rik	chr19:34444780..34445181	chr19	34519270	34519671
2010002M12Rik	chr19:34552856..34553257	chr19	34627346	34627747
2010002M12Rik	chr19:34553508..34553909	chr19	34627998	34628399
2810474O19Rik	chr6:149193584..149193985	chr6	149142106	149142507
3110043O21Rik	chr4:35224172..35224573	chr4	35171421	35171822
5330426P16Rik	chr16:50576938..50577339	chr16	50577051	50577452
5730508B09Rik	chr3:127863399..127863800	chr3	127566317	127566718
5730508B09Rik	chr3:127893966..127894367	chr3	127596884	127597285
5730508B09Rik	chr3:127914108..127914509	chr3	127617026	127617427
5730508B09Rik	chr3:127915307..127915708	chr3	127618225	127618626
9930022D16Rik	chr11:109366844..109367245	chr11	109228158	109228559
9930022D16Rik	chr11:109369035..109369436	chr11	109230349	109230750
A830080D01Rik	chrX:159508994..159509395	chrX	155946926	155947327
A830080D01Rik	chrX:159510638..159511039	chrX	155948570	155948971
A830080D01Rik	chrX:159744738..159745139	chrX	156182670	156183071
AA467197	chr2:122408925..122409326	chr2	122234661	122235062
AA467197	chr2:122665515..122665916	chr2	122491251	122491652
AA467197	chr2:122665958..122666359	chr2	122491694	122492095
Aars	chr8:111527116..111527517	chr8	114051016	114051417
AB041803	chr6:31123552..31123953	chr6	31073552	31073953
AB041803	chr6:31233320..31233721	chr6	31183320	31183721
Abcc1	chr16:14351522..14351923	chr16	14351615	14352016
Abcc1	chr16:14352606..14353007	chr16	14352699	14353100
Abcc5	chr16:20357797..20358198	chr16	20357870	20358271
Abcc5	chr16:20414013..20414414	chr16	20414086	20414487
Abhd17c	chr7:84188174..84188575	chr7	91336684	91337085
Abhd17c	chr7:84192286..84192687	chr7	91340796	91341197
Abhd17c	chr7:84240388..84240789	chr7	91388898	91389299
Abi1	chr2:23003965..23004366	chr2	22859485	22859886
Abi1	chr2:24311644..24312045	chr2	24167164	24167565
Abi1	chr2:24315469..24315870	chr2	24170989	24171390
Abi1	chr2:24341391..24341792	chr2	24196911	24197312
Abi1	chr2:24570889..24571290	chr2	24426409	24426810
Abi2	chr1:60621850..60622251	chr1	60678694	60679095
Abr	chr11:76482202..76482603	chr11	76295704	76296105
Abr	chr11:76497711..76498112	chr11	76311213	76311614
Abr	chr11:76587420..76587821	chr11	76400922	76401323
Abr	chr11:76588158..76588559	chr11	76401660	76402061
Abr	chr11:76589119..76589520	chr11	76402621	76403022
Abr	chr11:76589820..76590221	chr11	76403322	76403723
Abr	chr11:76735730..76736131	chr11	76549232	76549633
Abr	chr11:76845494..76845895	chr11	76658996	76659397
Abr	chr11:76857200..76857601	chr11	76670702	76671103
Abracl	chr10:17788510..17788911	chr10	17508316	17508717
Abracl	chr10:18022247..18022648	chr10	17742053	17742454
Acbd3	chr1:180260919..180261320	chr1	182191050	182191451
Acbd3	chr1:180302653..180303054	chr1	182232784	182233185
Acbd3	chr1:180312948..180313349	chr1	182243079	182243480
Acbd3	chr1:180314659..180315060	chr1	182244790	182245191
Acbd3	chr1:180356176..180356577	chr1	182286307	182286708
Acbd3	chr1:180387429..180387830	chr1	182317560	182317961
Acbd3	chr1:180404308..180404709	chr1	182334439	182334840
Acbd3	chr1:180428084..180428485	chr1	182358215	182358616
Actg1	chr11:120353654..120354055	chr11	120214968	120215369
Actg1	chr11:120519721..120520122	chr11	120381035	120381436
Actg1	chr11:121734210..121734611	chr11	121595524	121595925
Adm	chr7:110796651..110797052	chr7	117940165	117940566
Adora2a	chr10:75326565..75326966	chr10	74789310	74789711
Adora2a	chr10:75327027..75327428	chr10	74789772	74790173
Adora2a	chr10:75338815..75339216	chr10	74801560	74801961
Adora2b	chr11:62187090..62187491	chr11	62000592	62000993
Aebp2	chr6:140613783..140614184	chr6	140562304	140562705
Aff1	chr5:103709071..103709472	chr5	104138090	104138491
Agfg1	chr1:82832590..82832991	chr1	82829165	82829566
Agfg1	chr1:82834583..82834984	chr1	82831158	82831559
Ago3	chr4:126260741..126261142	chr4	125937985	125938386
Ahi1	chr10:20719134..20719535	chr10	20438940	20439341
Ahi1	chr10:20818492..20818893	chr10	20538298	20538699
Aig1	chr10:14018655..14019056	chr10	13738461	13738862
Aig1	chr10:14385693..14386094	chr10	14105499	14105900
Akt2	chr7:27454418..27454819	chr7	28239437	28239838
Akt2	chr7:27575148..27575549	chr7	28360167	28360568
Alcam	chr16:52425904..52426305	chr16	52426017	52426418
Alcam	chr16:52467682..52468083	chr16	52467795	52468196
Alcam	chr16:52468434..52468835	chr16	52468547	52468948
Alcam	chr16:52470700..52471101	chr16	52470813	52471214
Ampd3	chr7:110796651..110797052	chr7	117940165	117940566
Ankib1	chr5:3301141..3301542	chr5	3301141	3301542
Ankib1	chr5:3491147..3491548	chr5	3491147	3491548
Ankrd17	chr5:90689722..90690123	chr5	91118748	91119149
Ankrd17	chr5:90694433..90694834	chr5	91123459	91123860
Ankrd17	chr5:90700167..90700568	chr5	91129193	91129594
Ankrd17	chr5:90717911..90718312	chr5	91146937	91147338
Ankrd17	chr5:90876777..90877178	chr5	91305803	91306204
Ankrd17	chr5:90880890..90881291	chr5	91309916	91310317
Ankrd17	chr5:90882235..90882636	chr5	91311261	91311662
Ankrd17	chr5:90897607..90898008	chr5	91326633	91327034
Ankrd17	chr5:90898618..90899019	chr5	91327644	91328045
Ankrd17	chr5:90900213..90900614	chr5	91329239	91329640
Ankrd17	chr5:90900701..90901102	chr5	91329727	91330128
Ankrd33b	chr15:31268045..31268446	chr15	31197800	31198201
Ankrd33b	chr15:31332758..31333159	chr15	31262513	31262914
Ankrd33b	chr15:31336651..31337052	chr15	31266406	31266807
Ankrd33b	chr15:31338635..31339036	chr15	31268390	31268791
Ankrd33b	chr15:31341945..31342346	chr15	31271700	31272101
Ankrd33b	chr15:31342580..31342981	chr15	31272335	31272736
Ankrd33b	chr15:31349023..31349424	chr15	31278778	31279179
Ankrd33b	chr15:31349843..31350244	chr15	31279598	31279999
Ankrd33b	chr15:31364575..31364976	chr15	31294330	31294731
Ankrd33b	chr15:31365963..31366364	chr15	31295718	31296119
Anpep	chr7:79881064..79881465	chr7	87025950	87026351
Anpep	chr7:79884042..79884443	chr7	87028928	87029329
Antxr1	chr6:87183885..87184286	chr6	87133879	87134280
Anxa11	chr14:25464577..25464978	chr14	26284063	26284464
Anxa11	chr14:25472928..25473329	chr14	26292414	26292815
Anxa11	chr14:25476060..25476461	chr14	26295546	26295947
Anxa11	chr14:25488039..25488440	chr14	26307525	26307926
Anxa11	chr14:25493402..25493803	chr14	26312888	26313289
Anxa11	chr14:25496223..25496624	chr14	26315709	26316110
Anxa11	chr14:25496622..25497023	chr14	26316108	26316509
Anxa5	chr3:36468979..36469380	chr3	36367901	36368302
Anxa7	chr14:20479160..20479561	chr14	21298382	21298783
Apbb3	chr18:36701741..36702142	chr18	36861395	36861796
Apbb3	chr18:36713377..36713778	chr18	36873031	36873432
Apbb3	chr18:36719907..36720308	chr18	36879561	36879962
Apbb3	chr18:36723611..36724012	chr18	36883265	36883666
Apbb3	chr18:36724318..36724719	chr18	36883972	36884373
Arih1	chr9:59544471..59544872	chr9	59392278	59392679
Arl4a	chr12:40016931..40017332	chr12	40743518	40743919
Arl8a	chr1:135535318..135535719	chr1	137431895	137432296
Arl8a	chr1:135813078..135813479	chr1	137709655	137710056
Arl8a	chr1:135813702..135814103	chr1	137710279	137710680
Arl8a	chr1:135815389..135815790	chr1	137711966	137712367
Arrdc4	chr7:68667651..68668052	chr7	75812537	75812938
Arrdc4	chr7:68692691..68693092	chr7	75837577	75837978
Asf1a	chr10:53285103..53285504	chr10	53004909	53005310
Asf1a	chr10:53467656..53468057	chr10	53187462	53187863
Atf3	chr1:191180436..191180837	chr1	193004315	193004716
Atf3	chr1:191189816..191190217	chr1	193013695	193014096
Atf3	chr1:191193641..191194042	chr1	193017520	193017921
Atf3	chr1:191198003..191198404	chr1	193021882	193022283
Atf3	chr1:191201218..191201619	chr1	193025097	193025498
Atf3	chr1:191229569..191229970	chr1	193053448	193053849
Atf3	chr1:191232616..191233017	chr1	193056495	193056896
Atf3	chr1:191239599..191240000	chr1	193063478	193063879
Atf3	chr1:191241505..191241906	chr1	193065384	193065785
Atf3	chr1:191244184..191244585	chr1	193068063	193068464
Atf3	chr1:191249996..191250397	chr1	193073875	193074276
Atf3	chr1:191252717..191253118	chr1	193076596	193076997
Atf3	chr1:191254393..191254794	chr1	193078272	193078673
Atf3	chr1:191269568..191269969	chr1	193093447	193093848
Atf3	chr1:191280648..191281049	chr1	193104527	193104928
Atf3	chr1:191292393..191292794	chr1	193116272	193116673
Atf3	chr1:191439670..191440071	chr1	193263549	193263950
Atf4	chr15:80105441..80105842	chr15	79935871	79936272
Atf4	chr15:80219692..80220093	chr15	80050122	80050523
Atf4	chr15:80238266..80238667	chr15	80068696	80069097
Atf4	chr15:80243186..80243587	chr15	80073616	80074017
Atf4	chr15:80518519..80518920	chr15	80348949	80349350
Atf4	chr15:80521693..80522094	chr15	80352123	80352524
Atf4	chr15:80562408..80562809	chr15	80392838	80393239
Atp11b	chr3:35732439..35732840	chr3	35631361	35631762
Atp11b	chr3:36468979..36469380	chr3	36367901	36368302
Atp11b	chr3:36471520..36471921	chr3	36370442	36370843
Atp1b3	chr9:96391947..96392348	chr9	96292366	96292767
Atp1b3	chr9:96393119..96393520	chr9	96293538	96293939
Atp6v1e1	chr6:120820276..120820677	chr6	120770294	120770695
Atp6v1e1	chr6:120914910..120915311	chr6	120864928	120865329
Atp9b	chr18:80554721..80555122	chr18	80751460	80751861
AW112010	chr19:11052431..11052832	chr19	11126921	11127322
AW112010	chr19:11060403..11060804	chr19	11134893	11135294
AW112010	chr19:11494532..11494933	chr19	11569022	11569423
AW112010	chr19:11540150..11540551	chr19	11614640	11615041
AW112010	chr19:11557097..11557498	chr19	11631587	11631988
B3gnt2	chr11:22811370..22811771	chr11	22711373	22711774
B3gnt2	chr11:22812058..22812459	chr11	22712061	22712462
B3gnt2	chr11:22815177..22815578	chr11	22715180	22715581
B3gnt2	chr11:22841367..22841768	chr11	22741367	22741768
B3gnt2	chr11:22842949..22843350	chr11	22742949	22743350
B3gnt2	chr11:22871893..22872294	chr11	22771893	22772294
B4galt5	chr2:165947484..165947885	chr2	165772984	165773385
B4galt5	chr2:165954849..165955250	chr2	165780349	165780750
B4galt5	chr2:165968847..165969248	chr2	165794347	165794748
B4galt5	chr2:165969437..165969838	chr2	165794937	165795338
B4galt5	chr2:165983013..165983414	chr2	165808513	165808914
B4galt5	chr2:166115862..166116263	chr2	165941362	165941763
B4galt5	chr2:166701425..166701826	chr2	166526925	166527326
B4galt5	chr2:166706540..166706941	chr2	166532040	166532441
B4galt5	chr2:166711536..166711937	chr2	166537036	166537437
B4galt5	chr2:166729591..166729992	chr2	166555091	166555492
B4galt5	chr2:166809486..166809887	chr2	166634986	166635387
B4galt5	chr2:167058259..167058660	chr2	166883759	166884160
B4galt5	chr2:167347905..167348306	chr2	167173405	167173806
B4galt5	chr2:167351419..167351820	chr2	167176919	167177320
B4galt5	chr2:167352557..167352958	chr2	167178057	167178458
B4galt5	chr2:167358412..167358813	chr2	167183912	167184313
B4galt5	chr2:167361532..167361933	chr2	167187032	167187433
B4galt5	chr2:167367245..167367646	chr2	167192745	167193146
B4galt5	chr2:167368336..167368737	chr2	167193836	167194237
B4galt5	chr2:167375080..167375481	chr2	167200580	167200981
B4galt5	chr2:167377652..167378053	chr2	167203152	167203553
B4galt5	chr2:167381621..167382022	chr2	167207121	167207522
Basp1	chr15:25268414..25268815	chr15	25198169	25198570
Basp1	chr15:25269553..25269954	chr15	25199308	25199709
Basp1	chr15:25287815..25288216	chr15	25217570	25217971
Basp1	chr15:25352789..25353190	chr15	25282544	25282945
Basp1	chr15:25355300..25355701	chr15	25285055	25285456
Basp1	chr15:25826460..25826861	chr15	25756215	25756616
Basp1	chr15:25915106..25915507	chr15	25844861	25845262
